石头ID,长度x,长度y,长度z,长度max,点数,体积
139,0.07167506217956543,0.1070098876953125,0.0743408203125,0.1500038812782707,40,0.0006749744166168656
140,0.0406801700592041,0.07525634765625,0.03739166259765625,0.07766030415752212,15,0.00016653753953402878
141,0.04357099533081055,0.07553863525390625,0.0892791748046875,0.11632536268064797,29,0.0018493592209091333
142,0.05158281326293945,0.075897216796875,0.0662384033203125,0.11265441029129897,27,0.0005680176187197423
143,0.11755800247192383,0.31691741943359375,0.207855224609375,0.3754343361889858,229,0.016048044683909028
144,0.06307792663574219,0.20119476318359375,0.1409912109375,0.2528075529967957,88,0.00047730618475047885
145,0.06038498878479004,0.1745147705078125,0.12109375,0.20824176819822848,79,0.005900791314852239
146,0.07747197151184082,0.25130462646484375,0.1224365234375,0.26416261363053767,122,0.01316279842594786
147,0.05097389221191406,0.06220245361328125,0.070709228515625,0.09752992059870724,22,2.8289503625654716e-05
148,0.14561009407043457,0.15682220458984375,0.2213592529296875,0.27591721579784956,141,0.010651578805567163
149,0.1171109676361084,0.157867431640625,0.1644439697265625,0.19991405170904808,104,0.010901060228872916
150,0.08927488327026367,0.11081695556640625,0.148529052734375,0.20714505814994766,66,0.0029808562338931163
151,0.028711795806884766,0.07733917236328125,0.0838165283203125,0.11905321599648566,34,0.0006389967222695072
152,0.0453181266784668,0.0654296875,0.05991363525390625,0.09050323639499425,20,0.0003818825796105248
153,0.06376791000366211,0.13516998291015625,0.13744354248046875,0.2032564357304405,57,0.005816557532370978
154,0.1129770278930664,0.29003143310546875,0.16357421875,0.30697912534069494,152,0.001946330947425927
155,0.12544608116149902,0.1114654541015625,0.1751251220703125,0.21010879800626814,71,0.0002825784552977304
156,0.07278084754943848,0.16278076171875,0.14763641357421875,0.21890166711017967,74,0.005825583112805182
157,0.05205106735229492,0.12451171875,0.123809814453125,0.1640714240702752,64,0.006063947621384339
158,0.12111282348632812,0.17771148681640625,0.166412353515625,0.2474658502421721,84,0.008059815708183099
159,0.039122819900512695,0.0695648193359375,0.06827545166015625,0.0882664862866489,20,0.0004317029364957073
160,0.07881999015808105,0.11360931396484375,0.09346771240234375,0.15315374192107667,42,0.0016026627855183358
161,0.09001994132995605,0.156219482421875,0.10372161865234375,0.19820874943872901,57,0.005239007353846592
162,0.1319890022277832,0.236907958984375,0.248931884765625,0.334788449924206,150,0.011482008695354415
163,0.039804935455322266,0.04766082763671875,0.08583831787109375,0.09522032271514203,24,3.564200109586576e-05
164,0.08459997177124023,0.09389495849609375,0.146514892578125,0.15566505629555483,62,0.001929125772109996
165,0.04291796684265137,0.0932159423828125,0.0755157470703125,0.12125185824324802,26,0.0010053519609585784
166,0.14952611923217773,0.208709716796875,0.165802001953125,0.2750933957357277,90,0.0062913969255648785
